link,clients,load,offered_total,gross_mbps,net_mbps,delay_ms,loss_pct,active_flows,min_flow,max_flow,eff,spread,rc,wall
nr,8,60.0,480.0,393.6465217391305,388.023,518.576,0.0,8,46.469,49.827,0.8200969202898551,1.0722632292496073,0,32.33558054300374
nr,8,75.0,600.0,394.07565217391306,388.446,1005.658,0.0,8,46.469,49.973,0.6567927536231885,1.0754051087821987,0,47.1798955780032
nr,8,100.0,800.0,394.50173913043477,388.866,1493.911,0.0,8,46.469,50.149,0.49312717391304345,1.0791925799995696,0,79.35809911199613
nr,15,15.0,225.0,222.2357971014493,219.061,2.77,0.0,15,14.433,14.777,0.9877146537842191,1.023834268689808,0,54.74702054000227
nr,15,20.0,300.0,296.3444927536232,292.111,2.693,0.0,15,19.245,19.705,0.9878149758454106,1.0239023122889062,0,65.91585081599624
nr,15,25.0,375.0,370.44,365.148,2.796,0.0,15,24.056,24.63,0.9878399999999999,1.023860991020951,0,71.59755772000062
nr,15,30.0,450.0,386.3928985507246,380.873,383.484,0.0,15,23.432,26.084,0.858650885668277,1.113178559235234,0,59.538330510004016
nr,15,35.0,525.0,386.9995652173913,381.471,743.773,0.0,15,23.442,26.146,0.7371420289855073,1.1153485197508746,0,67.52328513599787
nr,15,40.0,600.0,387.45304347826084,381.918,1014.668,0.0,15,23.438,26.198,0.6457550724637681,1.1177574878402594,0,75.25204145799944
nr,15,50.0,750.0,388.0982608695652,382.554,1395.075,0.0,15,23.438,26.272,0.517464347826087,1.1209147538185853,0,93.65742617000069
nr,30,5.0,150.0,146.23608695652172,144.147,4.236,0.0,30,4.686,4.924,0.9749072463768115,1.0507895860008536,0,153.52073293500143
nr,30,8.0,240.0,234.02217391304347,230.679,3.362,0.0,30,7.498,7.881,0.9750923913043478,1.0510802880768204,0,197.07507635699585
nr,30,10.0,300.0,292.5573913043478,288.378,3.117,0.0,30,9.375,9.851,0.975191304347826,1.0507733333333333,0,313.66959328400117
nr,30,12.0,360.0,351.08449275362324,346.069,3.17,0.0,30,11.25,11.822,0.9752347020933979,1.0508444444444445,0,261.4402762719983
nr,30,15.0,450.0,371.7040579710145,366.394,422.59,0.0,30,10.727,13.934,0.8260090177133655,1.2989652279295236,0,214.60788343299646
nr,30,20.0,600.0,373.73811594202897,368.399,1020.647,0.0,30,10.727,14.102,0.6228968599033816,1.3146266430502471,0,218.054285102
wifi,1,200.0,200.0,199.752,196.898,0.197,0.119,1,199.752,199.752,0.9987600000000001,1.0,0,9.957173861999763
wifi,1,400.0,400.0,399.506,393.799,0.221,0.121,1,399.506,399.506,0.9987649999999999,1.0,0,10.290021763001278
wifi,1,600.0,600.0,599.226,590.666,0.256,0.121,1,599.226,599.226,0.99871,1.0,0,10.6109655629989
wifi,1,800.0,800.0,798.982,787.568,0.297,0.121,1,798.982,798.982,0.9987275,1.0,0,10.83843593599886
wifi,1,1000.0,1000.0,998.723,984.455,0.351,0.121,1,998.723,998.723,0.9987229999999999,1.0,0,11.406604303003405
wifi,1,1200.0,1200.0,1198.516,1181.394,0.426,0.121,1,1198.516,1198.516,0.9987633333333334,1.0,0,11.730936555999506
