Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	Harq ID	K1 Delay
2.70504	DL DCI Rxed	270	5	0	2	1	0	19	2
2.70646	HARQ FD Txed	270	6	0	2	1	0	19	2
2.71254	DL DCI Rxed	271	2	1	2	1	0	19	2
2.71304	DL DCI Rxed	271	3	0	2	1	0	18	2
2.71396	HARQ FD Txed	271	3	1	2	1	0	19	2
2.71446	HARQ FD Txed	271	4	0	2	1	0	18	2
2.71754	DL DCI Rxed	271	7	1	2	1	0	19	2
2.71896	HARQ FD Txed	271	8	1	2	1	0	19	2
2.72504	DL DCI Rxed	272	5	0	2	1	0	19	2
2.72646	HARQ FD Txed	272	6	0	2	1	0	19	2
2.73054	DL DCI Rxed	273	0	1	2	1	0	19	2
2.73196	HARQ FD Txed	273	1	1	2	1	0	19	2
2.73504	DL DCI Rxed	273	5	0	2	1	0	19	2
2.73646	HARQ FD Txed	273	6	0	2	1	0	19	2
2.73754	DL DCI Rxed	273	7	1	2	1	0	19	2
2.73896	HARQ FD Txed	273	8	1	2	1	0	19	2
2.74054	DL DCI Rxed	274	0	1	2	1	0	19	2
2.74196	HARQ FD Txed	274	1	1	2	1	0	19	2
2.74504	DL DCI Rxed	274	5	0	2	1	0	19	2
2.74646	HARQ FD Txed	274	6	0	2	1	0	19	2
2.74804	DL DCI Rxed	274	8	0	2	1	0	19	2
2.74946	HARQ FD Txed	274	9	0	2	1	0	19	2
2.75254	DL DCI Rxed	275	2	1	2	1	0	19	2
2.75396	HARQ FD Txed	275	3	1	2	1	0	19	2
2.75754	DL DCI Rxed	275	7	1	2	1	0	19	2
2.75896	HARQ FD Txed	275	8	1	2	1	0	19	2
2.76004	DL DCI Rxed	276	0	0	2	1	0	19	2
2.76054	DL DCI Rxed	276	0	1	2	1	0	18	2
2.76146	HARQ FD Txed	276	1	0	2	1	0	19	2
2.76196	HARQ FD Txed	276	1	1	2	1	0	18	2
2.76554	DL DCI Rxed	276	5	1	2	1	0	19	2
2.76696	HARQ FD Txed	276	6	1	2	1	0	19	2
2.77004	DL DCI Rxed	277	0	0	2	1	0	19	2
2.77054	DL DCI Rxed	277	0	1	2	1	0	18	2
2.77146	HARQ FD Txed	277	1	0	2	1	0	19	2
2.77196	HARQ FD Txed	277	1	1	2	1	0	18	2
2.77254	DL DCI Rxed	277	2	1	2	1	0	19	2
2.77396	HARQ FD Txed	277	3	1	2	1	0	19	2
2.77754	DL DCI Rxed	277	7	1	2	1	0	19	2
2.77804	DL DCI Rxed	277	8	0	2	1	0	18	2
2.77896	HARQ FD Txed	277	8	1	2	1	0	19	2
2.77946	HARQ FD Txed	277	9	0	2	1	0	18	2
2.78254	DL DCI Rxed	278	2	1	2	1	0	19	2
2.78304	DL DCI Rxed	278	3	0	2	1	0	18	2
2.78396	HARQ FD Txed	278	3	1	2	1	0	19	2
2.78446	HARQ FD Txed	278	4	0	2	1	0	18	2
2.78504	DL DCI Rxed	278	5	0	2	1	0	19	2
2.78646	HARQ FD Txed	278	6	0	2	1	0	19	2
2.79004	DL DCI Rxed	279	0	0	2	1	0	19	2
2.79146	HARQ FD Txed	279	1	0	2	1	0	19	2
2.79254	DL DCI Rxed	279	2	1	2	1	0	19	2
2.79304	DL DCI Rxed	279	3	0	2	1	0	18	2
2.79396	HARQ FD Txed	279	3	1	2	1	0	19	2
2.79446	HARQ FD Txed	279	4	0	2	1	0	18	2
2.79554	DL DCI Rxed	279	5	1	2	1	0	19	2
2.79696	HARQ FD Txed	279	6	1	2	1	0	19	2
2.79804	DL DCI Rxed	279	8	0	2	1	0	19	2
2.79946	HARQ FD Txed	279	9	0	2	1	0	19	2
2.80254	DL DCI Rxed	280	2	1	2	1	0	19	2
2.80304	DL DCI Rxed	280	3	0	2	1	0	18	2
2.80396	HARQ FD Txed	280	3	1	2	1	0	19	2
2.80446	HARQ FD Txed	280	4	0	2	1	0	18	2
2.80754	DL DCI Rxed	280	7	1	2	1	0	19	2
2.80804	DL DCI Rxed	280	8	0	2	1	0	18	2
2.80896	HARQ FD Txed	280	8	1	2	1	0	19	2
2.80946	HARQ FD Txed	280	9	0	2	1	0	18	2
2.81004	DL DCI Rxed	281	0	0	2	1	0	19	2
2.81146	HARQ FD Txed	281	1	0	2	1	0	19	2
2.81554	DL DCI Rxed	281	5	1	2	1	0	19	2
2.81696	HARQ FD Txed	281	6	1	2	1	0	19	2
2.91754	DL DCI Rxed	291	7	1	2	1	0	19	2
2.91896	HARQ FD Txed	291	8	1	2	1	0	19	2
2.93254	DL DCI Rxed	293	2	1	2	1	0	19	2
2.93396	HARQ FD Txed	293	3	1	2	1	0	19	2
2.94754	DL DCI Rxed	294	7	1	2	1	0	19	2
2.94896	HARQ FD Txed	294	8	1	2	1	0	19	2
2.96254	DL DCI Rxed	296	2	1	2	1	0	19	2
2.96396	HARQ FD Txed	296	3	1	2	1	0	19	2
2.97754	DL DCI Rxed	297	7	1	2	1	0	19	2
2.97896	HARQ FD Txed	297	8	1	2	1	0	19	2
2.99254	DL DCI Rxed	299	2	1	2	1	0	19	2
2.99396	HARQ FD Txed	299	3	1	2	1	0	19	2
3.00754	DL DCI Rxed	300	7	1	2	1	0	19	2
3.00896	HARQ FD Txed	300	8	1	2	1	0	19	2
3.02004	DL DCI Rxed	302	0	0	2	1	0	19	2
3.02146	HARQ FD Txed	302	1	0	2	1	0	19	2
3.02254	DL DCI Rxed	302	2	1	2	1	0	19	2
3.02396	HARQ FD Txed	302	3	1	2	1	0	19	2
3.03004	DL DCI Rxed	303	0	0	2	1	0	19	2
3.03146	HARQ FD Txed	303	1	0	2	1	0	19	2
3.03254	DL DCI Rxed	303	2	1	2	1	0	19	2
3.03304	DL DCI Rxed	303	3	0	2	1	0	18	2
